hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,4,192.05,190.80
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,5,193.26,189.83
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,6,193.40,189.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,7,191.84,188.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,8,191.22,187.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,9,188.68,186.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,10,186.51,184.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,11,184.80,184.00
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,12,182.24,183.02
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,1,180.03,181.76
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,2,180.19,181.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,3,179.91,180.40
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,4,179.61,178.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,5,180.45,177.04
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,6,180.47,176.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,7,178.95,175.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,8,177.95,174.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,9,173.99,171.65
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,10,172.86,171.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,11,169.25,168.15
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2008,12,167.64,168.48
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,1,169.79,171.76
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,2,169.11,170.55
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,3,168.25,169.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,4,168.47,167.68
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,5,172.38,168.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,6,171.55,167.62
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,7,170.28,166.50
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,8,169.78,166.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,9,169.03,166.61
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,10,167.42,165.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,11,168.26,166.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2009,12,164.01,164.94
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,1,162.46,164.68
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,2,162.06,163.78
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,3,162.99,164.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,4,164.68,163.99
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,5,167.75,164.33
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,6,166.49,162.38
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,7,165.59,161.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,8,165.73,161.96
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,9,162.85,160.23
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,10,164.05,162.49
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,11,162.81,161.25
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2010,12,158.12,159.12
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,1,156.35,158.81
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,2,155.13,157.17
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,3,152.77,154.09
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,4,155.28,154.60
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,5,158.57,155.29
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,6,160.40,156.21
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,7,161.91,157.55
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,8,159.50,155.66
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,9,159.13,156.40
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,10,156.87,155.35
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,11,158.63,157.15
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2011,12,155.57,156.66
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,1,153.21,155.85
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,2,153.44,155.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2012,3,155.48,156.84
